#         time [s]      timestep [s]  temperature [T9]  density [g/cm^3]
    3.40794317E+02    1.97255725E+01    2.24113293E-01    8.59045127E+05
    3.60095771E+02    1.93014541E+01    2.25241870E-01    8.58435161E+05
    3.78972632E+02    1.88768606E+01    2.26377183E-01    8.57827551E+05
    3.97417856E+02    1.84452242E+01    2.27526092E-01    8.57203535E+05
    4.15419575E+02    1.80017190E+01    2.28694087E-01    8.56561844E+05
    4.32962731E+02    1.75431565E+01    2.29887890E-01    8.55898450E+05
    4.50027221E+02    1.70644892E+01    2.31111522E-01    8.55205187E+05
    4.66594035E+02    1.65668146E+01    2.32369964E-01    8.54483842E+05
    4.82642810E+02    1.60487744E+01    2.33667630E-01    8.53735482E+05
    4.98153424E+02    1.55106144E+01    2.35008156E-01    8.52945609E+05
    5.13108657E+02    1.49552330E+01    2.36396307E-01    8.52116617E+05
    5.27491444E+02    1.43827868E+01    2.37835272E-01    8.51243242E+05
    5.41288231E+02    1.37967873E+01    2.39336099E-01    8.49214460E+05
    5.54540857E+02    1.32526260E+01    2.40921729E-01    8.48235136E+05
    5.67143184E+02    1.26023272E+01    2.42565252E-01    8.47206552E+05
    5.79102727E+02    1.19595427E+01    2.44270031E-01    8.46125637E+05
    5.90428154E+02    1.13254274E+01    2.46041825E-01    8.44990189E+05
    5.97240730E+02    6.81257534E+00    2.47195231E-01    8.44246163E+05
    6.03613421E+02    6.37269150E+00    2.48342488E-01    8.43498875E+05
    6.09662082E+02    6.04866095E+00    2.49501233E-01    8.42744418E+05
    6.15435495E+02    5.77341302E+00    2.50677050E-01    8.41970217E+05
    6.20960976E+02    5.52548068E+00    2.51876924E-01    8.41177947E+05
    6.26248081E+02    5.28710505E+00    2.53100385E-01    8.40367174E+05
    6.31308258E+02    5.06017682E+00    2.54349880E-01    8.39538726E+05
    6.36149299E+02    4.84104122E+00    2.55627819E-01    8.38688227E+05
    6.40776763E+02    4.62746384E+00    2.56933480E-01    8.37818015E+05
    6.45199280E+02    4.42251749E+00    2.58270740E-01    8.36918188E+05
    6.49421702E+02    4.22242122E+00    2.59640427E-01    8.35998308E+05
    6.53449817E+02    4.02811577E+00    2.61042973E-01    8.35049836E+05
    6.57291079E+02    3.84126126E+00    2.62480741E-01    8.34073522E+05
    6.60732027E+02    3.44094840E+00    2.63865031E-01    8.33136048E+05
    6.63996356E+02    3.26432896E+00    2.65274201E-01    8.32171146E+05
    6.67093048E+02    3.09669246E+00    2.66709666E-01    8.31189757E+05
    6.70028244E+02    2.93519605E+00    2.68173222E-01    8.30187550E+05
    6.72807654E+02    2.77940975E+00    2.69664462E-01    8.29161779E+05
    6.75437672E+02    2.63001785E+00    2.71183762E-01    8.28115243E+05
    6.77901535E+02    2.46386282E+00    2.72718624E-01    8.27055182E+05
    6.80236206E+02    2.33467145E+00    2.74286664E-01    8.25971219E+05
    6.82446826E+02    2.21061983E+00    2.75890696E-01    8.24860006E+05
    6.84415665E+02    1.96883853E+00    2.77430690E-01    8.23793896E+05
    6.86278824E+02    1.86315911E+00    2.79002691E-01    8.22698930E+05
    6.88040483E+02    1.76165934E+00    2.80604574E-01    8.21586193E+05
    6.89705269E+02    1.66478616E+00    2.82237203E-01    8.20448253E+05
    6.90985499E+02    1.28023017E+00    2.83588839E-01    8.19505270E+05
    6.92066469E+02    1.08096944E+00    2.84795505E-01    8.18665235E+05
    6.93094558E+02    1.02808860E+00    2.86007670E-01    8.17817989E+05
    6.94076201E+02    9.81643725E-01    2.87236608E-01    8.16957945E+05
    6.95014554E+02    9.38352671E-01    2.88479915E-01    8.16088345E+05
    6.95913121E+02    8.98567159E-01    2.89740194E-01    8.15207189E+05
    6.96660741E+02    7.47619864E-01    2.90842007E-01    8.14433416E+05
    6.97383279E+02    7.22537948E-01    2.91965016E-01    8.13649613E+05
