#    time [s]          t9 [GK]          density [g/cc]
  3.2678200000e+02  2.2331000000e-01  8.5947000000e+05
  3.2765400000e+02  2.2336000000e-01  8.5944500000e+05
  3.2852700000e+02  2.2340900000e-01  8.5941600000e+05
  3.2939900000e+02  2.2345900000e-01  8.5938800000e+05
  3.3027100000e+02  2.2350900000e-01  8.5936500000e+05
  3.3114300000e+02  2.2355900000e-01  8.5933700000e+05
  3.3201500000e+02  2.2360900000e-01  8.5931200000e+05
  3.3288800000e+02  2.2365900000e-01  8.5928600000e+05
  3.3376000000e+02  2.2370900000e-01  8.5926100000e+05
  3.3463200000e+02  2.2375900000e-01  8.5923200000e+05
  3.3550400000e+02  2.2380900000e-01  8.5920700000e+05
  3.3637700000e+02  2.2385900000e-01  8.5917900000e+05
  3.3724900000e+02  2.2390900000e-01  8.5915300000e+05
  3.3812100000e+02  2.2395900000e-01  8.5912600000e+05
  3.3899300000e+02  2.2401000000e-01  8.5909800000e+05
  3.3986500000e+02  2.2406000000e-01  8.5907500000e+05
  3.4073800000e+02  2.2411000000e-01  8.5904700000e+05
  3.4161000000e+02  2.2416100000e-01  8.5901800000e+05
  3.4248200000e+02  2.2421100000e-01  8.5899300000e+05
  3.4335400000e+02  2.2426200000e-01  8.5896700000e+05
  3.4422700000e+02  2.2431200000e-01  8.5893600000e+05
  3.4509900000e+02  2.2436300000e-01  8.5891100000e+05
  3.4597100000e+02  2.2441300000e-01  8.5888500000e+05
  3.4684300000e+02  2.2446400000e-01  8.5885400000e+05
  3.4771500000e+02  2.2451500000e-01  8.5882900000e+05
  3.4858800000e+02  2.2456600000e-01  8.5880300000e+05
  3.4946000000e+02  2.2461700000e-01  8.5877800000e+05
  3.5033200000e+02  2.2466800000e-01  8.5875100000e+05
  3.5120400000e+02  2.2471800000e-01  8.5872300000e+05
  3.5207700000e+02  2.2477000000e-01  8.5868900000e+05
  3.5294900000e+02  2.2482100000e-01  8.5866400000e+05
  3.5382100000e+02  2.2487200000e-01  8.5863800000e+05
  3.5469300000e+02  2.2492300000e-01  8.5861000000e+05
  3.5556500000e+02  2.2497400000e-01  8.5858500000e+05
  3.5643800000e+02  2.2502600000e-01  8.5855600000e+05
  3.5731000000e+02  2.2507700000e-01  8.5852800000e+05
  3.5818200000e+02  2.2512800000e-01  8.5850000000e+05
  3.5905400000e+02  2.2518000000e-01  8.5847400000e+05
  3.5992700000e+02  2.2523200000e-01  8.5844000000e+05
  3.6079900000e+02  2.2528300000e-01  8.5841500000e+05
  3.6167100000e+02  2.2533500000e-01  8.5839000000e+05
  3.6254300000e+02  2.2538700000e-01  8.5836500000e+05
  3.6341500000e+02  2.2543900000e-01  8.5833400000e+05
  3.6428800000e+02  2.2549100000e-01  8.5830800000e+05
  3.6516000000e+02  2.2554300000e-01  8.5827900000e+05
  3.6603200000e+02  2.2559500000e-01  8.5825100000e+05
  3.6690400000e+02  2.2564700000e-01  8.5822300000e+05
  3.6777700000e+02  2.2569900000e-01  8.5819400000e+05
  3.6864900000e+02  2.2575200000e-01  8.5816900000e+05
  3.6952100000e+02  2.2580400000e-01  8.5813800000e+05
  3.7039300000e+02  2.2585600000e-01  8.5811000000e+05
  3.7126500000e+02  2.2590900000e-01  8.5808100000e+05
  3.7213800000e+02  2.2596200000e-01  8.5805400000e+05
